Unnamed: 0,filename,index,caption
0,1000092795.jpg,0,startseq  Two young guys with shaggy hair look at their hands while hanging out in the yard endseq
5,10002456.jpg,0,startseq  Several men in hard hats are operating giant pulley system endseq
10,1000268201.jpg,0,startseq  child in pink dress is climbing up set of stairs in an entry way endseq
15,1000344755.jpg,0,startseq  Someone in blue shirt and hat is standing on stair and leaning against window endseq
20,1000366164.jpg,0,startseq  Two men one in gray shirt one in black shirt standing near stove endseq
25,1000523639.jpg,0,startseq  Two people in the photo are playing the guitar and the other is poking at him endseq
30,1000919630.jpg,0,startseq  man sits in chair while holding large stuffed animal of lion endseq
35,10010052.jpg,0,startseq  girl is on rollerskates talking on her cellphone standing in parking lot endseq
40,1001465944.jpg,0,startseq  An asian man wearing black suit stands near woman and woman endseq
45,1001545525.jpg,0,startseq  Two men in Germany jumping over rail at the same time without shirts endseq
50,1001573224.jpg,0,startseq  Five ballet dancers caught mid jump in dancing studio with sunlight coming through window endseq
55,1001633352.jpg,0,startseq  Three young men and young woman wearing sneakers are leaping in midair at the top of flight of concrete stairs endseq
60,1001773457.jpg,0,startseq  black dog and white dog with brown spots are staring at each other in the street endseq
65,1001896054.jpg,0,startseq  man with reflective safety clothes and ear protection drives John Deere tractor on road endseq
70,100197432.jpg,0,startseq  Some women are standing in front of bus with buildings behind it endseq
75,100207720.jpg,0,startseq  young woman with dark hair and wearing glasses is putting white powder on cake using sifter endseq
80,1002674143.jpg,0,startseq  small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it endseq
85,1003163366.jpg,0,startseq  man sleeping on bench outside with white and black dog sitting next to him endseq
90,1003420127.jpg,0,startseq  group of adults inside home sitting on chairs arranged in circle playing type of musical instruments endseq
95,1003428081.jpg,0,startseq  Two women both wearing glasses are playing clarinets and an elderly woman is playing stringed instrument endseq
100,100444898.jpg,0,startseq  person in gray stands alone on structure outdoors in the dark endseq
105,1005216151.jpg,0,startseq  man in white looks toward the camera surrounded by crowd near metro station endseq
110,100577935.jpg,0,startseq  man with goatee in black shirt and white latex gloves is using tattoo gun to place tattoo on someone back endseq
115,1006452823.jpg,0,startseq  two children girl and boy are practicing their writing endseq
120,100652400.jpg,0,startseq  man in blue hard hat and orange safety vest stands in an intersection while holding flag endseq
125,1007129816.jpg,0,startseq  The man with pierced ears is wearing glasses and an orange hat endseq
130,100716317.jpg,0,startseq  person with long gray hair has beret with beige and white wearing blue raincoat is painting marketplace scenery surrounded by other artists and paintings endseq
135,1007205537.jpg,0,startseq  man stands on one foot while holding on to waste basket endseq
140,1007320043.jpg,0,startseq  small child grips onto the red ropes at the playground endseq
145,100759042.jpg,0,startseq  Young man in jacket holding toothpick with something on the end of it endseq
150,10082347.jpg,0,startseq  Young blond man in blue and yellow jacket smiling while standing in front of net endseq
155,10082348.jpg,0,startseq  man with baseball cap and black jacket stands in bathroom while holding coffee mug endseq
160,100845130.jpg,0,startseq  Five people walking with multicolored sky in the background endseq
165,10090841.jpg,0,startseq  man with black hair sits in restaurant with glass of beer endseq
170,1009434119.jpg,0,startseq  black and white dog is running in grassy garden surrounded by white fence endseq
175,1009692167.jpg,0,startseq  An officer in reflective vest stands at the front of his van with his dog endseq
180,101001624.jpg,0,startseq  The white out conditions of snow on the ground seem to almost obliverate the details of man dressed for the cold weather in heavy jacket and red hat riding bicycle in suburban neighborhood endseq
185,1010031975.jpg,0,startseq  Five men uniformly dressed in white shirts tie and black slacks converse at the back of an open van endseq
190,1010087179.jpg,0,startseq  tan man with backwards hat looks at the camera while walking through factory endseq
195,1010087623.jpg,0,startseq  caucasian man wearing black shirt and woman wearing sleeveless dress are working at conveyor endseq
200,10101477.jpg,0,startseq  Man wearing blue and white outfit holding broom with traditional Asian architecture in the background endseq
205,1010470346.jpg,0,startseq  two men in florescent vests are standing next to parked cars in front of small building while one of them converses with driver and woman on bike is seen riding by endseq
210,1010673430.jpg,0,startseq  little girl in pink shirt and little girl in an orange shirt sitting in the grass endseq
215,101093029.jpg,0,startseq  person in tan pants is inside silver mobile object while people watch endseq
220,101093045.jpg,0,startseq  man in black approaches strange silver object containing person while many onlookers observe from behind roped off barrier endseq
225,1011572216.jpg,0,startseq  bride and groom walking side by side out of focus on pathway next to brick building endseq
230,1012150929.jpg,0,startseq  little boy plays with Nintendo GameCube controller inside McDonald endseq
235,1012212859.jpg,0,startseq  White dog with brown ears standing near water with head turned to one side endseq
240,1012328893.jpg,0,startseq  group of people picnicking at picnic tables in front of playground endseq
245,101262930.jpg,0,startseq  Two asian or spanish people woman and man sitting together in front of glass window as cars pass endseq
250,1013536888.jpg,0,startseq  Women are seated at picnic table eating while man in white and yellow and orange balloon design on his head stands in the background endseq
255,101362133.jpg,0,startseq  young female student performing downward kick to break board held by her Karate instructor endseq
260,101362650.jpg,0,startseq  Two people are demonstrating martial arts to crowd and jumping over three youngsters who are crouched on the mat endseq
265,1014609273.jpg,0,startseq  People on two balconies and man climbing up pipe towards the lower balcony getting liquid poured on him endseq
270,101471792.jpg,0,startseq  man with red jacket is shielding himself from the sun trying to read piece of paper endseq
275,1014785440.jpg,0,startseq  Two men are carrying children on their backs down the street on sunny day in nice neighborhood endseq
280,1015118661.jpg,0,startseq  Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him endseq
285,1015584366.jpg,0,startseq  mottled black and gray dog in blue collar jumping over fallen tree endseq
290,101559400.jpg,0,startseq  Men in the business suits are crossing the street and there are people with placards are gathering on the street endseq
295,1015712668.jpg,0,startseq  man in red shirt bikes over body of water on bridge endseq
300,10160966.jpg,0,startseq  barefooted man wearing olive green shorts grilling hotdogs on small propane grill while holding blue plastic cup endseq
305,101654506.jpg,0,startseq  The white and brown dog is running over the surface of the snow endseq
310,1016626169.jpg,0,startseq  Man on scooter attracts attention from some of those in large crowd endseq
315,101669240.jpg,0,startseq  person wearing skis looking at framed pictures set up in the snow endseq
320,1016887272.jpg,0,startseq  Several climbers in row are climbing the rock while the man in red watches and holds the line endseq
325,1017675163.jpg,0,startseq  young gymnast jumps high in the air while performing on balance beam endseq
330,1018057225.jpg,0,startseq  boy in black and blue jeans is pushing toy three wheeler around small pool endseq
335,1018148011.jpg,0,startseq  group of people stand in the back of truck filled with cotton endseq
340,101859883.jpg,0,startseq  woman with red jacket and headscarf looks out over scenic view of bay through set of pay binoculars on viewing deck endseq
345,10188041.jpg,0,startseq  man in black coat walks past red spaceship with parking ticket stuck to its window endseq
350,1019077836.jpg,0,startseq  Large brown dog running away from the sprinkler in the grass endseq
355,101958970.jpg,0,startseq  man and little girl happily posing in front of their cart in supermarket endseq
360,1019604187.jpg,0,startseq  dog prepares to catch thrown object in field with nearby cars endseq
365,102030371.jpg,0,startseq  man wearing green shirt and dark colored vest is sitting at table with glass of water in front of him endseq
370,1020651753.jpg,0,startseq  white dog is trying to catch ball in midair over grassy field endseq
375,1021293940.jpg,0,startseq  Two men are hiking in forest where snow is partially covering the ground endseq
380,1021332107.jpg,0,startseq  An elderly man with facial hair and glasses standing in his living room holding hutch cabinet with glass doors endseq
385,1021439420.jpg,0,startseq  two guys sitting on the floor with the guy in the green jacket reading piece of paper endseq
390,1021442086.jpg,0,startseq  bearded man wearing glasses red shirt and hat is reading map while sitting in car endseq
395,1022454332.jpg,0,startseq  large lake with lone duck swimming in it with several people around the edge of it endseq
400,1022454428.jpg,0,startseq  couple and an infant being held by the male sitting next to pond with nearby stroller endseq
405,102268204.jpg,0,startseq  Three men are standing at night near black car near shelter filled with bicycles endseq
410,1022975728.jpg,0,startseq  black lab with tags frolicks in the water endseq
415,102351840.jpg,0,startseq  man is drilling through the frozen ice of pond endseq
420,1024138940.jpg,0,startseq  Two different breeds of brown and white dogs play on the beach endseq
425,102455176.jpg,0,startseq  an ice climber in blue jacket and black pants is scaling frozen ice wall endseq
430,1024613706.jpg,0,startseq  Two young men and young lady walk through field near the water endseq
435,102520526.jpg,0,startseq  man in black attire shovels snow into the street disregarding all public safety endseq
440,102575576.jpg,0,startseq  couple in their wedding attire stand behind table with wedding cake and flowers endseq
445,102617084.jpg,0,startseq  Five snowmobile riders all wearing helmets and goggles line up in snowy clearing in forest in front of their snowmobiles they are all wearing black snow pants and from left to right they are wearing black coat white coat red coat blue coat and black coat endseq
450,1026685415.jpg,0,startseq  black dog carries green toy in his mouth as he walks through the grass endseq
455,1026792563.jpg,0,startseq  group of woman and children are standing or sitting in front of rows of vegetables endseq
460,1027149103.jpg,0,startseq  band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm endseq
465,1027211271.jpg,0,startseq  young woman with short wearing jeans and striped sweater jumping in midair on skateboard with trees in the background endseq
470,1028205764.jpg,0,startseq  man and little boy in blue life jackets are rowing yellow canoe endseq
475,102851549.jpg,0,startseq  little boy looks at the camera while woman behind him seems to be laughing very hard and the woman on the right has big smile on her face endseq
480,102860573.jpg,0,startseq  construction site on street with three men working endseq
485,10287332.jpg,0,startseq  Two men sitting on the roof of house while another one stands on ladder endseq
490,1028982826.jpg,0,startseq  Two men one younger guy with yellow shirt that has luggage and the other and older guy are sitting on bench in front of large building that has billboard for glasses and sunglasses endseq
495,1029450589.jpg,0,startseq  An adult wearing gray shirt with red sleeves sleeping on couch endseq
500,1029737941.jpg,0,startseq  Boy in brown shirt with headphones on sits on woman shoulders in crowd endseq
505,1029802110.jpg,0,startseq  During gay pride parade in an Asian city some people hold up rainbow flags to show support endseq
510,102998070.jpg,0,startseq  young man in blue sweater cleaning fish while three other men watch one man cigarette or match in his month endseq
515,1030041880.jpg,0,startseq  Woman in green dress with white top and singing in room with blue roof while band equipment is being prepared endseq
520,103031977.jpg,0,startseq  Four individuals two males and two females sitting on the concrete steps outside of brick building endseq
525,1030985833.jpg,0,startseq  The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway endseq
530,103106960.jpg,0,startseq  young male kneeling in front of hockey goal with hockey stick in his right hand endseq
535,103195344.jpg,0,startseq  The man with the backpack is sitting in buildings courtyard in front of an art sculpture reading endseq
540,1031973097.jpg,0,startseq  toddler in blue shirt with red shorts and hat looks out from behind fenced in area of brick patio endseq
545,103205630.jpg,0,startseq  Two men standing on an ice looking into something covered with blue tarp endseq
550,1032122270.jpg,0,startseq  Three dogs are standing in the grass and person is sitting next to them endseq
555,1032460886.jpg,0,startseq  There is skyscraper in the distance with man walking in front of the camera endseq
560,103306033.jpg,0,startseq  woman wearing brown dress with matching turban is pushing toddler through park in his stroller endseq
565,103328091.jpg,0,startseq  Asian male wearing red shirt is sitting next to grocery stand selling fruits endseq
570,1033767085.jpg,0,startseq  young child with on his head sits eating at small white table with little girl eating off yellow plate endseq
575,1034276567.jpg,0,startseq  small boy putting something in his mouth with both hands endseq
580,1034985636.jpg,0,startseq  man with wild hair rocks show playing guitar center stage endseq
585,1035019794.jpg,0,startseq  person in green outfit and helmet is swinging baseball bat at tennis ball in front of fence endseq
590,10350842.jpg,0,startseq  man in green shirt and red life jacket is sitting in canoe drifting around the lake endseq
595,1035392784.jpg,0,startseq  man in black with long hair playing guitar with stickers on it endseq
600,103625356.jpg,0,startseq  man in black shirt crouches next to dirty unfinished concrete edge while several shovels and other tools lean against tree nearby endseq
605,103631543.jpg,0,startseq  Caucasian young woman in white hooded sweatshirt sits at table set for two in lowly lit restaurant endseq
610,1039360778.jpg,0,startseq  woman in blue shirt and sunglasses lies on red blanket in grassy field with bike set down next to her endseq
615,103953336.jpg,0,startseq  Someone is standing on long bridge with cloudy blue sky in the background endseq
620,1039637574.jpg,0,startseq  bride in light pink dress poses for picture with male relatives and is being photographed by man in cream shirt with white pants endseq
625,10404007.jpg,0,startseq  Young white boy on grassy area with sad expression on his face endseq
630,1040426962.jpg,0,startseq  man is cooking what appears to be green beans in grill basket on grill with yellow lab standing by him while someone takes picture from above endseq
635,104136873.jpg,0,startseq  Three people are on hilltop overlooking green valley endseq
640,104180524.jpg,0,startseq  group of tourists is crossing bridge that connects walking path to trail of nature endseq
645,1042020065.jpg,0,startseq  young boy wearing jersey looks down over ledge at many boats in the water endseq
650,1042359076.jpg,0,startseq  older man holds an object and is looking at two young girls that sit across from him at table that is outside endseq
655,1042590306.jpg,0,startseq  man is holding the hand of woman up to his mouth in front of some buildings while another man looks on endseq
660,104285082.jpg,0,startseq  man with glasses is sitting chair playing the oboe while man in purple shirt plays percussion and spectators look on endseq
665,1043819504.jpg,0,startseq  group of people in winter wear such as beanies skiing jackets gloves and backpacks are standing in snow paddles outside house made of ice blocks while person in front of the door seems to be leading them endseq
670,1043910339.jpg,0,startseq  baseball player in red leaps into the air to avoid player in blue who is shortly behind him as he catches the ball while other blue team members look on in the background endseq
675,1044434135.jpg,0,startseq  man in the foreground wearing white shirt and black pants riding bicycle with basket in busy street endseq
680,1044764620.jpg,0,startseq  man on ladder is painting brick wall in warehouse endseq
685,1044798682.jpg,0,startseq  man wearing hat and white shirt is cleaning windows endseq
690,1045124251.jpg,0,startseq  man with glasses and blank tank top is sitting next to another man with glasses and headphones while sitting on train endseq
695,1045309098.jpg,0,startseq  Juggling her shopping bags and Betty Boop backpack and young woman crosses city street endseq
700,1045521051.jpg,0,startseq  young man sits on the floor by the television with fast food meal in front of him endseq
705,10459869.jpg,0,startseq  Several asian people are eating together around table endseq
710,104669470.jpg,0,startseq  woman with flowers in her hair balances large bowl of assorted fruits on her head endseq
715,104700891.jpg,0,startseq  man wearing gray jacket and blue work pants is standing in hole in the ground endseq
720,104763189.jpg,0,startseq  shirtless young boy on bicycle too big for him being supported by other young shirtless boys in grass field endseq
725,1047921035.jpg,0,startseq  man in bandanna and dirty and woman in graphic are standing next to oblong hole with smoke coming out endseq
730,104816788.jpg,0,startseq  This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger her feet or her sleepy smile endseq
735,104824673.jpg,0,startseq  An African individual is looking into the camera while dressed in varying beads and decorations that have cultural relevance endseq
